Bname,race,class_and_levels,faction,background,lifestyle,portrait_url,publicly_visible
Grod,Half orc,Fighter,#<Faction:0x00005645589ff6c0>,Outlander,#<Lifestyle:0x00005645589fbb38>,https://media-waterdeep.cursecdn.com/avatars/thumbnails/0/301/1000/1000/636252771691385727.jpeg,true
type,adventure_title,session_num,date_played,session_length_hours,player_level,xp_gained,gp_gained,downtime_gained,renown_gained,num_secret_missions,location_played,dm_name,dm_dci_number,notes,date_dmed,campaign_id
MAGIC ITEM,name,rarity,location_found,table,table_result,notes
CharacterLogEntry,DDHC-TOA-1 Tomb of Annihilation,1,2019-03-29 22:35:00 UTC,,,,,5.0,,,"","","","",,
CharacterLogEntry,DDHC-TOA-1 Tomb of Annihilation,3,2019-07-03 22:38:00 UTC,,,,,10.0,,,"","","","",,
MAGIC ITEM,Mask of the Beast,uncommon,"","","",""
CharacterLogEntry,DDHC-TOA-1 Tomb of Annihilation,4,2019-08-13 22:40:00 UTC,,,,,10.0,,,"","","","",,
CharacterLogEntry,DDHC-TOA-1 Tomb of Annihilation,5,2019-08-20 22:41:00 UTC,,,,,5.0,,,"","","","",,
CharacterLogEntry,DDHC-TOA-1 Tomb of Annihilation,2,2019-04-05 22:43:00 UTC,,,,,10.0,,,"","","","",,
PurchaseLogEntry,,,2019-09-16 22:44:00 UTC,,,,,,,,,,,"",,
MAGIC ITEM,Battleaxe +1,uncommon,Evergreen,"","",""
CharacterLogEntry,Infernal Pursuits,,2019-10-04 22:46:00 UTC,,,,120.0,10.0,,,"","","","",,
MAGIC ITEM,Mantle of Spell Resistance,rare,"","","",""
MAGIC ITEM,Necklass of Adaptation,uncommon,"","","",""
CampaignLogEntry,DDHC-TOA-1 Tomb of Annihilation,6,2020-05-04 22:48:00 UTC,,,,120.0,10.0,,,Discord,Alex Hayeur,"","",,1865
MAGIC ITEM,Foldable Boat,rare,"","","",""
CampaignLogEntry,DDHC-TOA-1 Tomb of Annihilation,7,2020-05-11 18:30:00 UTC,,,,,10.0,,,Discord,Alex Hayeur,"","",,1865
CampaignLogEntry,DDHC-TOA-1 Tomb of Annihilation,8,2020-05-18 23:09:00 UTC,,,,240.0,10.0,,,"",Alex Hayeur,"","",,1865
CampaignLogEntry,DDHC-TOA-1 Tomb of Annihilation,10,2020-06-15 22:42:00 UTC,,,,240.0,,,,Discord,Alex Hayeur,"","",,1865
CampaignLogEntry,DDHC-TOA-1 Tomb of Annihilation,9,2020-06-01 22:45:00 UTC,,,,,,,,"",Alex Hayeur,"","",,1865
CampaignLogEntry,DDHC-TOA-1 Tomb of Annihilation,11,2020-06-22 23:40:00 UTC,,,,,0.0,,,Discord,Alex Hayeur,"","",,1865
CampaignLogEntry,DDHC-TOA-1 Tomb of Annihilation,12,2020-06-29 22:36:00 UTC,,,,1600.0,10.0,,,"",Alex Hayeur,"","",,1865
MAGIC ITEM,Flame Tongue Long Sword,very_rare,"","","",""
MAGIC ITEM,Bracers of Defense,very_rare,"","","",""
CampaignLogEntry,DDHC-TOA-1 Tomb of Annihilation,13,2020-07-06 22:12:00 UTC,,,,,,,,"",Alex Hayeur,"","",,1865
MAGIC ITEM,Staff of the python,common,"","","",""
MAGIC ITEM,Ring of protection,common,"","","",""
CampaignLogEntry,DDHC-TOA-1 Tomb of Annihilation,14,2020-07-13 22:12:00 UTC,,,,1600.0,10.0,,,"",Alex Hayeur,"","",,1865
MAGIC ITEM,Mace of terror,rare,"","","",""
CampaignLogEntry,DDHC-TOA-1 Tomb of Annihilation,15,2020-07-27 22:12:00 UTC,,,,,,,,Discord,Alex Hayeur,"","",,1865
MAGIC ITEM,Staff of Striking,rare,"","","",""
MAGIC ITEM,Amulet of Health,common,"","","",""
MAGIC ITEM,Pearl of power,rare,"","","",""
CampaignLogEntry,DDHC-TOA-1 Tomb of Annihilation,16,2020-08-31 23:52:00 UTC,,,,1600.0,10.0,,,"",Alex Hayeur,"","",,1865
MAGIC ITEM,bracers of archery,rare,"","","",""
CampaignLogEntry,DDHC-TOA-1 Tomb of Annihilation,17,2020-12-22 01:40:00 UTC,,,,,0.0,,,"",Alex Hayeur,"","",,1865
CampaignLogEntry,DDHC-TOA-1 Tomb of Annihilation,18,2021-01-05 01:42:00 UTC,,,,,10.0,,,"",Alex Hayeur,"","",,1865
